Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-11,Back to the Future Part II,1989,https://boxd.it/8qc4St,4,Yes,"De pequeño esta era la que menos me gusta y a pesar que la disfruté más tengo serios problemas con la trama. A pesar que es una película hecha para disfrutarse y no pensarla tanto es muy difícil no cuestionarse cada 10 minutos porque se sobre complica el conflicto principal “la revista” 

Usando el principio del arma de Chéjov se te presenta al inicio de la película un flash que usa el Doc para desmayar a Jennifer y teniendo en cuenta esto podría ser tan fácil como usarlo con Biff y acabar la trama, podrían interceptar a Biff anciano antes que le de la revista a su versión Joven y quitarle la máquina del tiempo, podrían haber quemado la revista en el primer momento que Marty la tuvo en sus manos, etc, etc. y ese es el mayor problema de la película ya que asumiendo que el Doc es un genio actúa de forma muy incoherente para resolver los problemas de esta película

Aún así creo que es bastante disfrutable y entretenida, el mayor problema de la película es tratar de complicar un problema muy sencillo",,2025-01-10
2025-01-12,Back to the Future Part III,1990,https://boxd.it/8qJkix,5,Yes,"Mi favorita de la saga entera y en mi opinión la mejor, me parece increíble que las 3 películas usan el mismo arquetipo del viaje del héroe y una estructura muy similar entre sí pero todas tienen una identidad propia y un aura especial. 

<b style=""font-style: italic;"">“The future isnt written it can be changed”</b>

Lo que para mí hace especial la 3 es el cariño que se le nota que está en esta película todos los detalles fueron muy buenos cuidados y la trama fue uno de ellos, en contraste a la segunda película creo que esta crea un conflicto mucho más realista y que te mantiene más emocionado a lo largo de la película, ese es su punto fuerte. Agregar una trama de amor con el Doc también es un punto que fortalece mucho la trama de la película y la hace interesante sin sacarte mucho de la trama principal. 

El final es lo mejor de la película, te deja una sensación de alegría y nostalgia viendo los últimos 20 minutos de película, cerrando todas las tramas y dándote una historia redonda es una de las mejores decisiones que se pudieron tomar. Habría sido un grave error crear una cuarta película y me alegro que se hayan dado cuenta de esto los productores, muchos más estudios podrían tomar nota de esto",,2025-01-11
2025-01-12,"The Good, the Bad and the Ugly",1966,https://boxd.it/8riaQT,5,,"<i>“If you work for a living, why do you kill yourself working?”</i>

<b>CINE EN SU MÁXIMO ESPLENDOR, </b>estoy empezando el año y creo que está ha sido de las mejores primeras veces que veo una película, <i><b>no es solo contar una historia, es de qué manera la cuentas</b></i> y la manera en la que esta historia se cuenta es de las mejores que he podido ver en el cine, la cantidad de planos que me enamoraron de esta película no la puedo ni contar, la fotografía es uno de los aspectos que más resaltaron en mi primer vista de esta película. Es fácil ver como esta película deja una influencia enorme no solo en los westerns como género si no en el cine en general. 

Con los dedos de una mano puedo contar bandas sonoras como la de esta película o mejores, fue uno de los aspectos más cautivantes y que más me gustaron. 

Una historia de Ambición, traición y codicia, los ultimos minutos de enfrentamiento en la película es de lo mejor que se ha hecho en el cine. ni si quiera sentí las 3 horas totales de película 

5/5

Pd. Descubrí que el sample de 505 de Arctic Monkeys sale de aquí",,2025-01-11
2025-01-19,Split,2016,https://boxd.it/8wZxEH,3.5,,"Me gustó bastante, siento que por el género de película pudieron usar planos más interesantes en ciertos momentos pero fuera de ello me gustó mucho la trama y la forma de contarla 

Además hubo referencia a Kanye así que media estrella más por eso",,2025-01-18
2025-01-26,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/8CllWX,3.5,,"La primera que veo de esta saga, me pareció interesante y en varias partes cómica, lo que más destaco es la cantidad de memes que salió solo en la primera hora de película

Los efectos especiales para la época son muy buenos y la ambientación también",,2025-01-25
2025-01-31,Moneyball,2011,https://boxd.it/8FNrMH,4,,"<b><i>“I hate losing more than I want to win”</i></b> 

Una película de 2 horas que habla especialmente de estadísticas sobre baseball y no te aburre en ningún momento, la facilidad que tiene Brad Pitt para cautivarte en las películas y hacer tramas como estas interesantes me parece increíble. 

Me gustó mucho el color grading y fotografía de la película",,2025-01-30
2025-02-03,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/8IBr5V,4,,"<b><i>“Snow lands on top”</i></b>

La mejor después de la película original, toma todos los aspectos de esta primera película y los replica de muy buena forma, la virtud de esta película radica en su forma de hacerte sentir más en los momentos de diálogo que en las partes de acción y pelea, siendo esto algo que necesitaba esta franquicia y no estaba logrando en las entregas anteriores. 

La fotografía y el color son de mis aspectos favoritos, tiene un mayor cuidado al detalle en mostrar planos dinámicos cada vez que puede para contarte la historia de la película.",,2025-02-03
2025-02-10,"As Above, So Below",2014,https://boxd.it/8NaCuD,4,Yes,"Para ser una película de found footage está bien, ahora que la volví a ver los personajes principales me parecieron más annoying que la primera vez pero nada del otro mundo, creo que pudieron aprovechar más situaciones para crear terror y realizar jumpscares menos obvios 

Igual tengo que admitir que me gusta mucho esta película entonces por eso 4 estrellas",,2025-02-10
2025-02-17,Mamma Mia!,2008,https://boxd.it/8RHAol,5,,"INCREÍBLE, todo lo que las películas representan lo tiene esta película, buena fotografía, guion entretenido, buenos diálogos y actuaciones es increíble. Nueva película de confort desbloqueada 

Hoy descubrí que Sofi se sabe todas las canciones de ABBA",,2025-02-16
2025-03-20,Woman of the Hour,2023,https://boxd.it/9b6X4J,3,,"Había una muy buena historia que contar, una fotografía espectacular, buenos actores pero un mal guion. 

Muchos momentos de la película pueden hacerte sentir muchas más emociones de lo que se logra hacer, eso me decepcionó. Definitivamente no es una mala película pero no creo volverla a ver porque el guion y ritmo no me parecieron óptimos",,2025-03-19
2025-04-06,A Minecraft Movie,2025,https://boxd.it/9kD92v,2.5,,No salió minero al final ni referencias a planeta vegeta -2 estrellas,,2025-04-05
2025-04-20,What Women Want,2000,https://boxd.it/9sMbnb,3,,"Mejor romcom de lo que me imagine, algo predecible pero creo que pudieron tener un mejor Plot twist",,2025-04-19
2025-04-20,"Love, Rosie",2014,https://boxd.it/9sPHR9,2,,"Top 3 comerciales a favor del aborto 

Me pasé riendo toda la película porque el guion estaba terrible, 

hay tantas tramas a medias que es difícil poder sentirte emocional en los momentos más fuertes de la película porque no hay una buena construcción de las relaciones de los personajes, solo por una conversación con el papá de Rosie no te puede hacer sentir triste en su funeral, además le pasaban tantas cosas malas tan seguido que era un drama que parecía comedia y el tracklist me pareció terrible porque en vez de poner el ambiente para momentos fuertes de la trama me sacaba de ellos",,2025-04-20
